"id","Description","Name"
"8311e382-0749-4cb8-b61a-304f252e45ec","acr push","AcrPush"
"312a565d-c81f-4fd8-895a-4e21e48d571c","Can manage service and the APIs","API Management Service Contributor"
"7f951dda-4ed3-4680-a7ca-43fe172d538d","acr pull","AcrPull"
"6cef56e8-d556-48e5-a04f-b8e64114680f","acr image signer","AcrImageSigner"
"c2f4ef07-c644-48eb-af81-4b1b4947fb11","acr delete","AcrDelete"
"cdda3590-29a3-44f6-95f2-9f980659eb04","acr quarantine data reader","AcrQuarantineReader"
"c8d4ff99-41c3-41a8-9f60-21dfdad59608","acr quarantine data writer","AcrQuarantineWriter"
"e022efe7-f5ba-4159-bbe4-b44f577e9b61","Can manage service but not the APIs","API Management Service Operator Role"
"71522526-b88f-4d52-b57f-d31fc3546d0d","Read-only access to service and APIs","API Management Service Reader Role"
"ae349356-3a1b-4a5e-921d-050484c6347e","Can manage Application Insights components","Application Insights Component Contributor"
"08954f03-6346-4c2e-81c0-ec3a5cfae23b","Gives user permission to use Application Insights Snapshot Debugger features","Application Insights Snapshot Debugger"
"fd1bd22b-8476-40bc-a0bc-69b95687b9f3","Can read the attestation provider properties","Attestation Reader"
"4fe576fe-1146-4730-92eb-48519fa6bf9f","Create and Manage Jobs using Automation Runbooks.","Automation Job Operator"
"5fb5aef8-1081-4b8e-bb16-9d5d0385bab5","Read Runbook properties - to be able to create Jobs of the runbook.","Automation Runbook Operator"
"d3881f73-407a-4167-8283-e981cbba0404","Automation Operators are able to start, stop, suspend, and resume jobs","Automation Operator"
"4f8fab4f-1852-4a58-a46a-8eaf358af14a","Can create and manage an Avere vFXT cluster.","Avere Contributor"
"c025889f-8102-4ebf-b32c-fc0c6f0c6bd9","Used by the Avere vFXT cluster to manage the cluster","Avere Operator"
"0ab0b1a8-8aac-4efd-b8c2-3ee1fb270be8","List cluster admin credential action.","Azure Kubernetes Service Cluster Admin Role"
"4abbcc35-e782-43d8-92c5-2d3f1bd2253f","List cluster user credential action.","Azure Kubernetes Service Cluster User Role"
"423170ca-a8f6-4b0f-8487-9e4eb8f49bfa","Grants access to read map related data from an Azure maps account.","Azure Maps Data Reader"
"6f12a6df-dd06-4f3e-bcb1-ce8be600526a","Lets you manage Azure Stack registrations.","Azure Stack Registration Owner"
"5e467623-bb1f-42f4-a55d-6e525e11384b","Lets you manage backups, but can't delete vaults and give access to others","Backup Contributor"
"fa23ad8b-c56e-40d8-ac0c-ce449e1d2c64","Allows read access to billing data","Billing Reader"
"a795c7a0-d4a2-40c1-ae25-d81f01202912","Can view backup services, but can't make changes","Backup Reader"
"31a002a1-acaf-453e-8a5b-297c9ca1ea24","Allows for access to Blockchain Member nodes","Blockchain Member Node Access (Preview)"
"5e3c6656-6cfa-4708-81fe-0de47ac73342","Lets you manage BizTalk services, but not access to them.","BizTalk Contributor"
"426e0c7f-0c7e-4658-b36f-ff54d6c29b45","Can manage CDN endpoints, but can't grant access to other users.","CDN Endpoint Contributor"
"ec156ff8-a8d1-4d15-830c-5b80698ca432","Can manage CDN and Azure Front Door standard and premium profiles and their endpoints, but can't grant access to other users.","CDN Profile Contributor"
"8f96442b-4075-438f-813d-ad51ab4019af","Can view CDN profiles and their endpoints, but can't make changes.","CDN Profile Reader"
"b34d265f-36f7-4a0d-a4d4-e158ca92e90f","Lets you manage classic networks, but not access to them.","Classic Network Contributor"
"86e8f5dc-a6e9-4c67-9d15-de283e8eac25","Lets you manage classic storage accounts, but not access to them.","Classic Storage Account Contributor"
"985d6b00-f706-48f5-a6fe-d0ca12fb668d","Classic Storage Account Key Operators are allowed to list and regenerate keys on Classic Storage Accounts","Classic Storage Account Key Operator Service Role"
